======================================================================
ALIGNMENT STATISTICS SUMMARY
======================================================================

Total HARs analyzed: 3254
Total aligned length: 876143 bp
Total conserved positions: 800200
Total substitutions: 43884
Total gaps: 32059

Average conservation rate: 91.66%
Min conservation: 7.14%
Max conservation: 100.00%

======================================================================
PER-HAR DETAILS
======================================================================

     HAR  Length  Conserved  Substitutions  Gaps Conservation_Rate
HAR_2442     535        522             13     0            97.57%
HAR_2443     508        502              6     0            98.82%
HAR_2444     369        365              4     0            98.92%
HAR_2445     230        223              7     0            96.96%
HAR_2446      99         97              2     0            97.98%
HAR_2447     685        680              5     0            99.27%
HAR_2448     219        214              5     0            97.72%
HAR_2449     400        389             11     0            97.25%
 HAR_245     189        180              6     3            95.24%
HAR_2450     680        668             11     1            98.24%
HAR_2451     440        431              8     1            97.95%
HAR_2452     692        683              5     4            98.70%
HAR_2453     323        316              6     1            97.83%
HAR_2454     217        204              3    10            94.01%
HAR_2455    1119       1104             13     2            98.66%
HAR_2456     442        438              4     0            99.10%
HAR_2457     270        263              7     0            97.41%
HAR_2458      53         50              3     0            94.34%
HAR_2459     142        137              4     1            96.48%
 HAR_246     520        515              5     0            99.04%
HAR_2460     277        273              4     0            98.56%
HAR_2461     268        263              5     0            98.13%
HAR_2462     295        291              4     0            98.64%
HAR_2463     430        423              7     0            98.37%
HAR_2464     263        257              6     0            97.72%
HAR_2465     298        294              4     0            98.66%
HAR_2466     312        304              8     0            97.44%
HAR_2467     179        175              4     0            97.77%
HAR_2468     101         97              4     0            96.04%
HAR_2469     371        364              6     1            98.11%
 HAR_247     374        364             10     0            97.33%
HAR_2470     250        228              4    18            91.20%
HAR_2471     163        157              6     0            96.32%
HAR_2472     128        126              2     0            98.44%
HAR_2473     401        397              4     0            99.00%
HAR_2474     181        176              4     1            97.24%
HAR_2475     169        165              4     0            97.63%
HAR_2476     132        128              4     0            96.97%
HAR_2477     210        206              4     0            98.10%
HAR_2478      55         52              3     0            94.55%
HAR_2479     116        113              3     0            97.41%
 HAR_248     150        147              3     0            98.00%
HAR_2480     614        602             12     0            98.05%
HAR_2481     367        358              9     0            97.55%
HAR_2482     170        163              7     0            95.88%
HAR_2483     176        172              4     0            97.73%
HAR_2484     289        281              7     1            97.23%
HAR_2485     228        222              6     0            97.37%
HAR_2486     270        263              7     0            97.41%
HAR_2487     565        559              6     0            98.94%
HAR_2488     492        488              4     0            99.19%
HAR_2489     150        148              2     0            98.67%
 HAR_249     750        741              8     1            98.80%
HAR_2490     335        330              5     0            98.51%
HAR_2491     247        242              5     0            97.98%
HAR_2492     246        242              4     0            98.37%
HAR_2493      18         14              4     0            77.78%
HAR_2494     688        674              6     8            97.97%
HAR_2495     330        322              8     0            97.58%
HAR_2496     773        758             14     1            98.06%
HAR_2497     169        165              4     0            97.63%
HAR_2498     654        648              5     1            99.08%
HAR_2499     137        134              3     0            97.81%
  HAR_25     357        345              6     6            96.64%
 HAR_250     233        229              4     0            98.28%
HAR_2500     274        269              5     0            98.18%
HAR_2501     209        203              6     0            97.13%
HAR_2502     415        411              4     0            99.04%
HAR_2503     407        403              4     0            99.02%
HAR_2504     183        179              4     0            97.81%
HAR_2505     203        197              4     2            97.04%
HAR_2506     407        403              4     0            99.02%
HAR_2507     147        144              3     0            97.96%
HAR_2508     433        425              8     0            98.15%
HAR_2509     307        301              6     0            98.05%
 HAR_251     156        151              5     0            96.79%
HAR_2510     191        188              3     0            98.43%
HAR_2511     170        164              6     0            96.47%
HAR_2512      82         77              5     0            93.90%
HAR_2513     104         99              5     0            95.19%
HAR_2514     342        334              8     0            97.66%
HAR_2515      63         60              3     0            95.24%
HAR_2516     217        213              4     0            98.16%
HAR_2517     223        219              4     0            98.21%
HAR_2518      67         63              4     0            94.03%
HAR_2519      33         30              3     0            90.91%
 HAR_252     263        254              6     3            96.58%
HAR_2520      93         90              3     0            96.77%
HAR_2523     328        321              7     0            97.87%
HAR_2524     550        534             16     0            97.09%
HAR_2525     757        710             20    27            93.79%
HAR_2526     336        322              8     6            95.83%
HAR_2527      80         75              5     0            93.75%
HAR_2528     366        360              6     0            98.36%
HAR_2529     359        351              8     0            97.77%
 HAR_253     285        280              5     0            98.25%
HAR_2530     470        458             11     1            97.45%
HAR_2531     126        118              3     5            93.65%
HAR_2532     126        123              3     0            97.62%
HAR_2533     290        281              8     1            96.90%
HAR_2534     135        110             15    10            81.48%
HAR_2535     128        123              4     1            96.09%
HAR_2536     236        232              4     0            98.31%
HAR_2537     683        676              6     1            98.98%
HAR_2538     280        272              8     0            97.14%
HAR_2539      56         53              3     0            94.64%
 HAR_254     389        383              6     0            98.46%
HAR_2540     246        241              5     0            97.97%
HAR_2541     264        259              5     0            98.11%
HAR_2542     230        222              7     1            96.52%
HAR_2543     430        417             11     2            96.98%
HAR_2544     458        450              8     0            98.25%
HAR_2545     310        303              7     0            97.74%
HAR_2546     405        401              4     0            99.01%
HAR_2547     270        266              4     0            98.52%
HAR_2548     251        246              4     1            98.01%
HAR_2549     323        317              6     0            98.14%
 HAR_255     210        200             10     0            95.24%
HAR_2550     121        119              2     0            98.35%
HAR_2551     969        961              7     1            99.17%
HAR_2552     485        480              4     1            98.97%
HAR_2553     353        348              5     0            98.58%
HAR_2554     261        253              7     1            96.93%
HAR_2555     278        267             11     0            96.04%
HAR_2556     233        225              8     0            96.57%
HAR_2557     290        285              5     0            98.28%
HAR_2558     137        132              5     0            96.35%
HAR_2559     167        162              5     0            97.01%
 HAR_256     236        231              4     1            97.88%
HAR_2560     279        273              4     2            97.85%
HAR_2561     148        133              4    11            89.86%
HAR_2562     241        237              4     0            98.34%
HAR_2563     631        616              5    10            97.62%
HAR_2564     309        301              8     0            97.41%
HAR_2565     267        263              4     0            98.50%
HAR_2566     415        406              9     0            97.83%
HAR_2567     210        205              5     0            97.62%
HAR_2568     198        194              4     0            97.98%
HAR_2569     384        380              4     0            98.96%
 HAR_257     349        340              9     0            97.42%
HAR_2570     315        310              5     0            98.41%
HAR_2571     290        282              8     0            97.24%
HAR_2572     520        508             11     1            97.69%
HAR_2573     243        236              5     2            97.12%
HAR_2574     147        144              3     0            97.96%
HAR_2575     357        347             10     0            97.20%
HAR_2576      99         95              4     0            95.96%
HAR_2577     236        231              5     0            97.88%
HAR_2578     833        816             14     3            97.96%
HAR_2579     253        247              6     0            97.63%
 HAR_258     321        315              6     0            98.13%
HAR_2580     339        334              5     0            98.53%
HAR_2581     141        138              3     0            97.87%
HAR_2582     457        451              4     2            98.69%
HAR_2583     295        289              6     0            97.97%
HAR_2584     311        305              6     0            98.07%
HAR_2585     410        405              5     0            98.78%
HAR_2586     228        223              4     1            97.81%
HAR_2587     177        173              4     0            97.74%
HAR_2588     235        231              4     0            98.30%
HAR_2589      21         18              3     0            85.71%
 HAR_259     157        154              3     0            98.09%
HAR_2590     444        424              8    12            95.50%
HAR_2591     322        318              4     0            98.76%
HAR_2594     316        308              8     0            97.47%
HAR_2595     336        332              4     0            98.81%
HAR_2596     160        155              5     0            96.88%
HAR_2597      35         32              3     0            91.43%
HAR_2598     132        128              4     0            96.97%
HAR_2599     107        102              5     0            95.33%
  HAR_26     351        344              6     1            98.01%
 HAR_260     217        212              5     0            97.70%
HAR_2600     215        210              5     0            97.67%
HAR_2601     275        270              5     0            98.18%
HAR_2602     222        217              5     0            97.75%
HAR_2603     230        224              6     0            97.39%
HAR_2604     115        111              4     0            96.52%
HAR_2605     205        198              7     0            96.59%
HAR_2606     150        148              2     0            98.67%
HAR_2607     260        254              6     0            97.69%
HAR_2608      21         18              3     0            85.71%
HAR_2609      20         19              1     0            95.00%
 HAR_261     258        249              9     0            96.51%
HAR_2610     578        573              5     0            99.13%
HAR_2611     252        242              6     4            96.03%
HAR_2612     469        464              5     0            98.93%
HAR_2613     451        445              6     0            98.67%
HAR_2614     190        185              5     0            97.37%
HAR_2615     247        239              8     0            96.76%
HAR_2616     277        270              7     0            97.47%
HAR_2617      68         65              3     0            95.59%
HAR_2618     233        226              7     0            97.00%
HAR_2619     408        404              4     0            99.02%
 HAR_262     208        204              4     0            98.08%
HAR_2620     710        702              6     2            98.87%
HAR_2621     368        352              4    12            95.65%
HAR_2622     183        178              5     0            97.27%
HAR_2623      39         35              4     0            89.74%
HAR_2624     307        303              4     0            98.70%
HAR_2625     214        208              6     0            97.20%
HAR_2626     790        784              6     0            99.24%
HAR_2627     174        171              3     0            98.28%
HAR_2628     508        501              7     0            98.62%
HAR_2629     538        533              5     0            99.07%
 HAR_263     666        635              7    24            95.35%
HAR_2630     558        550              8     0            98.57%
HAR_2631     150        146              4     0            97.33%
HAR_2632     101         97              4     0            96.04%
HAR_2633     420        415              5     0            98.81%
HAR_2634     107        104              3     0            97.20%
HAR_2635    1871       1862              9     0            99.52%
HAR_2636     191        187              4     0            97.91%
HAR_2637     648        644              4     0            99.38%
HAR_2638     176        172              4     0            97.73%
HAR_2639     230        223              6     1            96.96%
 HAR_264      43         39              4     0            90.70%
HAR_2640     814        808              6     0            99.26%
HAR_2641     274        268              6     0            97.81%
HAR_2642      18         15              3     0            83.33%
HAR_2643     122        118              4     0            96.72%
HAR_2644     382        377              5     0            98.69%
HAR_2645     346        342              4     0            98.84%
HAR_2646     153        150              3     0            98.04%
HAR_2647     560        482             14    64            86.07%
HAR_2648     190        182              8     0            95.79%
HAR_2649     308        283              8    17            91.88%
 HAR_265     230        224              4     2            97.39%
HAR_2650     135        131              4     0            97.04%
HAR_2651     128        124              4     0            96.88%
HAR_2652     290        285              5     0            98.28%
HAR_2653     273        265              8     0            97.07%
HAR_2654      21         19              2     0            90.48%
HAR_2655     214        209              5     0            97.66%
HAR_2656     146        142              4     0            97.26%
HAR_2657      56         52              4     0            92.86%
HAR_2658     120        117              3     0            97.50%
HAR_2659     208        204              4     0            98.08%
 HAR_266      17         14              3     0            82.35%
HAR_2660     346        341              4     1            98.55%
HAR_2661     215        211              4     0            98.14%
HAR_2662     314        308              6     0            98.09%
HAR_2663     134        131              3     0            97.76%
HAR_2664     267        262              5     0            98.13%
HAR_2665     252        247              5     0            98.02%
HAR_2666     246        236              8     2            95.93%
HAR_2667     510        506              4     0            99.22%
HAR_2668     155        151              4     0            97.42%
HAR_2669     111        108              3     0            97.30%
 HAR_267     153        148              5     0            96.73%
HAR_2670     400        395              5     0            98.75%
HAR_2671     160        150              5     5            93.75%
HAR_2672     315        310              4     1            98.41%
HAR_2673      22         19              3     0            86.36%
HAR_2674     223        218              4     1            97.76%
HAR_2675     171        167              4     0            97.66%
HAR_2676     355        346              9     0            97.46%
HAR_2677     272        267              5     0            98.16%
HAR_2678     364        360              4     0            98.90%
HAR_2679     150        143              7     0            95.33%
 HAR_268     315        309              5     1            98.10%
HAR_2680     420        414              6     0            98.57%
HAR_2681      28         24              4     0            85.71%
HAR_2682      57         47              7     3            82.46%
HAR_2683      14         12              2     0            85.71%
HAR_2684     291        286              5     0            98.28%
HAR_2685      29         27              2     0            93.10%
HAR_2686      16         13              3     0            81.25%
HAR_2687     253        248              4     1            98.02%
HAR_2688     231        227              4     0            98.27%
HAR_2689     206        202              4     0            98.06%
 HAR_269     228        220              8     0            96.49%
HAR_2690     116        112              4     0            96.55%
HAR_2691      85         78              6     1            91.76%
HAR_2692     390        379              9     2            97.18%
HAR_2693     250        232              5    13            92.80%
HAR_2694     944        938              5     1            99.36%
HAR_2695     789        764              8    17            96.83%
HAR_2696     164        160              4     0            97.56%
HAR_2697     150        147              3     0            98.00%
HAR_2698     245        242              3     0            98.78%
HAR_2699     140        136              4     0            97.14%
  HAR_27     169        164              5     0            97.04%
 HAR_270     180        176              4     0            97.78%
HAR_2700     157        153              4     0            97.45%
HAR_2701     102         93              8     1            91.18%
HAR_2702     137        133              4     0            97.08%
HAR_2703     375        368              7     0            98.13%
HAR_2704     279        273              6     0            97.85%
HAR_2705     310        305              5     0            98.39%
HAR_2706     190        184              6     0            96.84%
 HAR_271     150        144              6     0            96.00%
HAR_2710     240        229             10     1            95.42%
HAR_2711     215        197             18     0            91.63%
HAR_2712     150        143              7     0            95.33%
HAR_2713     117        112              5     0            95.73%
HAR_2714     544        540              4     0            99.26%
HAR_2715     785        779              6     0            99.24%
HAR_2716     192        185              5     2            96.35%
HAR_2717     310        305              5     0            98.39%
HAR_2718     325        319              4     2            98.15%
HAR_2719     145        142              3     0            97.93%
 HAR_272     174        167              7     0            95.98%
HAR_2720     235        224             11     0            95.32%
HAR_2721     207        199              8     0            96.14%
HAR_2722     279        270              9     0            96.77%
HAR_2723      19         16              3     0            84.21%
HAR_2724     315        309              5     1            98.10%
HAR_2725     480        466             13     1            97.08%
HAR_2726     250        241              9     0            96.40%
HAR_2727     374        370              4     0            98.93%
HAR_2728      18         15              3     0            83.33%
HAR_2729     102         99              3     0            97.06%
 HAR_273     619        615              4     0            99.35%
HAR_2730      61         56              5     0            91.80%
HAR_2731     256        251              5     0            98.05%
HAR_2732     140        133              5     2            95.00%
HAR_2733     105        101              4     0            96.19%
HAR_2734     271        262              9     0            96.68%
HAR_2735     353        338              8     7            95.75%
HAR_2736     150        146              4     0            97.33%
HAR_2737     171        167              4     0            97.66%
HAR_2738     851        843              4     4            99.06%
HAR_2739     150        147              3     0            98.00%
 HAR_274     247        242              5     0            97.98%
HAR_2740     310        307              3     0            99.03%
HAR_2741     108        102              6     0            94.44%
HAR_2742     259        251              8     0            96.91%
HAR_2743     220        212              8     0            96.36%
HAR_2744      32         28              4     0            87.50%
HAR_2745     463        457              6     0            98.70%
HAR_2746     154        150              4     0            97.40%
HAR_2747     127        121              4     2            95.28%
HAR_2748      58         54              4     0            93.10%
HAR_2749     710        689             16     5            97.04%
HAR_2750     160        156              4     0            97.50%
HAR_2751     136        131              3     2            96.32%
HAR_2752     377        372              5     0            98.67%
HAR_2753      20         17              3     0            85.00%
HAR_2754     270        257             13     0            95.19%
HAR_2755     170        164              6     0            96.47%
HAR_2756      98         89              2     7            90.82%
HAR_2757     169        164              4     1            97.04%
HAR_2758     150        146              3     1            97.33%
HAR_2759     674        667              6     1            98.96%
 HAR_276     693        243            364    86            35.06%
HAR_2760      99         97              2     0            97.98%
HAR_2761     263        259              4     0            98.48%
HAR_2762     215        211              4     0            98.14%
HAR_2763      33         30              3     0            90.91%
HAR_2764     443        439              4     0            99.10%
HAR_2765      48         45              3     0            93.75%
HAR_2766     150        145              5     0            96.67%
HAR_2767     315        305             10     0            96.83%
HAR_2768     150        146              4     0            97.33%
HAR_2769     150        147              3     0            98.00%
 HAR_277     388        383              4     1            98.71%
HAR_2770     311        302              9     0            97.11%
HAR_2771     275        271              4     0            98.55%
HAR_2772     171        168              3     0            98.25%
HAR_2773     351        345              4     2            98.29%
HAR_2774     218        213              5     0            97.71%
HAR_2775     127        125              2     0            98.43%
HAR_2776     361        357              4     0            98.89%
HAR_2777     522        512              9     1            98.08%
HAR_2778     602        596              5     1            99.00%
HAR_2779     224        219              5     0            97.77%
 HAR_278      62         57              5     0            91.94%
HAR_2780     232        227              5     0            97.84%
HAR_2781     191        186              4     1            97.38%
HAR_2782     331         69            108   154            20.85%
HAR_2783     265        101            154    10            38.11%
HAR_2784     106        100              5     1            94.34%
HAR_2785     181        176              4     1            97.24%
HAR_2786     206        201              5     0            97.57%
HAR_2788     184        180              4     0            97.83%
HAR_2789     261        252              5     4            96.55%
 HAR_279     398        393              5     0            98.74%
HAR_2790     216        213              3     0            98.61%
HAR_2791     143        139              4     0            97.20%
HAR_2792     170        167              3     0            98.24%
HAR_2793     265        259              6     0            97.74%
HAR_2794     121        117              4     0            96.69%
HAR_2795     157        150              7     0            95.54%
HAR_2796     345        340              5     0            98.55%
HAR_2797     100         96              4     0            96.00%
HAR_2798     370        358              6     6            96.76%
HAR_2799     248        244              4     0            98.39%
  HAR_28     190        185              5     0            97.37%
 HAR_280     172        168              4     0            97.67%
HAR_2800     131        127              4     0            96.95%
HAR_2801     158        155              3     0            98.10%
HAR_2802     451        447              4     0            99.11%
HAR_2803     330        323              7     0            97.88%
HAR_2804     114        110              4     0            96.49%
HAR_2805     303        297              5     1            98.02%
HAR_2806      27         24              3     0            88.89%
HAR_2807     395        390              5     0            98.73%
HAR_2808     146        142              4     0            97.26%
HAR_2809     109        105              4     0            96.33%
 HAR_281     121        115              6     0            95.04%
HAR_2810     223        218              5     0            97.76%
HAR_2811     390        380             10     0            97.44%
HAR_2812     378        374              4     0            98.94%
HAR_2813     323        319              4     0            98.76%
HAR_2814     310        303              7     0            97.74%
HAR_2815     324        318              6     0            98.15%
HAR_2816     354        349              5     0            98.59%
HAR_2817     384        372              9     3            96.88%
HAR_2818     194        185              5     4            95.36%
HAR_2819     191        187              4     0            97.91%
 HAR_282     220        216              4     0            98.18%
HAR_2820     209        201              8     0            96.17%
HAR_2821     186        182              4     0            97.85%
HAR_2822     246        242              4     0            98.37%
HAR_2823     117        113              4     0            96.58%
HAR_2824     223        217              6     0            97.31%
HAR_2825      56         53              3     0            94.64%
HAR_2826     123        119              4     0            96.75%
HAR_2827     126        122              4     0            96.83%
HAR_2828     591        587              4     0            99.32%
HAR_2829     193        190              3     0            98.45%
 HAR_283     226        221              5     0            97.79%
HAR_2830     231        227              4     0            98.27%
HAR_2831      28         26              2     0            92.86%
HAR_2832     159        157              2     0            98.74%
HAR_2833     322        316              6     0            98.14%
HAR_2834     231        227              4     0            98.27%
HAR_2835     842        838              4     0            99.52%
HAR_2836     769        765              4     0            99.48%
HAR_2837      77         74              3     0            96.10%
HAR_2838     229        221              8     0            96.51%
HAR_2839     258        249              8     1            96.51%
 HAR_284     455        447              8     0            98.24%
HAR_2840     183        178              5     0            97.27%
HAR_2841     210        205              5     0            97.62%
HAR_2842     255        251              4     0            98.43%
HAR_2843     279        277              2     0            99.28%
HAR_2844      26         22              4     0            84.62%
HAR_2845     298        294              4     0            98.66%
HAR_2846     407        401              6     0            98.53%
HAR_2847     261        254              5     2            97.32%
HAR_2848     196        193              3     0            98.47%
HAR_2849     150        148              2     0            98.67%
 HAR_285     256        250              4     2            97.66%
HAR_2850     210        207              3     0            98.57%
HAR_2851     135        132              3     0            97.78%
HAR_2852      23         20              3     0            86.96%
HAR_2854      92         88              4     0            95.65%
HAR_2855     362        356              6     0            98.34%
HAR_2856     478        474              4     0            99.16%
HAR_2857     220        214              6     0            97.27%
HAR_2858     410        402              8     0            98.05%
HAR_2859     149        143              6     0            95.97%
 HAR_286     190        187              3     0            98.42%
HAR_2860     218        213              5     0            97.71%
HAR_2861     313        303             10     0            96.81%
HAR_2862     415        410              5     0            98.80%
HAR_2863     335        304              9    22            90.75%
HAR_2864     150        144              6     0            96.00%
HAR_2865     190        188              2     0            98.95%
HAR_2866     200        196              4     0            98.00%
HAR_2867     361        356              5     0            98.61%
HAR_2868      47         43              4     0            91.49%
HAR_2869     161        157              4     0            97.52%
 HAR_287     123        120              3     0            97.56%
HAR_2870     195        190              5     0            97.44%
HAR_2871     108        104              4     0            96.30%
HAR_2872      23         20              3     0            86.96%
HAR_2873     355        345             10     0            97.18%
HAR_2874     289        285              4     0            98.62%
HAR_2875     300        293              7     0            97.67%
HAR_2876     199        195              4     0            97.99%
HAR_2877     509        496             13     0            97.45%
HAR_2878     245        234             11     0            95.51%
HAR_2879     111        107              4     0            96.40%
 HAR_288     108        104              4     0            96.30%
HAR_2880     270        261              9     0            96.67%
HAR_2881     150        146              4     0            97.33%
HAR_2882     339        332              7     0            97.94%
HAR_2883     198        192              6     0            96.97%
HAR_2884     717        628             76    13            87.59%
HAR_2885     296        285              9     2            96.28%
HAR_2886      40         36              4     0            90.00%
HAR_2887     216        207              9     0            95.83%
HAR_2888     134        130              4     0            97.01%
HAR_2889     290        286              4     0            98.62%
 HAR_289     203        192              4     7            94.58%
HAR_2890     298        294              4     0            98.66%
HAR_2891     250        242              8     0            96.80%
HAR_2892     133        129              4     0            96.99%
HAR_2893     350        338             11     1            96.57%
HAR_2894     294        288              6     0            97.96%
HAR_2895     125        121              4     0            96.80%
HAR_2896     267        262              5     0            98.13%
HAR_2897     165        161              4     0            97.58%
HAR_2898     384        380              4     0            98.96%
HAR_2899     255        249              6     0            97.65%
  HAR_29     212        208              4     0            98.11%
 HAR_290     442        435              7     0            98.42%
HAR_2900     118        114              4     0            96.61%
HAR_2901     158        154              4     0            97.47%
HAR_2902     510        499             11     0            97.84%
HAR_2903     236        232              4     0            98.31%
HAR_2904     440        426             14     0            96.82%
HAR_2905     385        378              6     1            98.18%
HAR_2906     445        441              4     0            99.10%
HAR_2907     231        226              5     0            97.84%
HAR_2908     136        132              2     2            97.06%
HAR_2909     117        110              4     3            94.02%
 HAR_291     883        879              4     0            99.55%
HAR_2910     150        139              3     8            92.67%
HAR_2911     260        255              5     0            98.08%
HAR_2912     284        280              4     0            98.59%
HAR_2913     430        418             12     0            97.21%
HAR_2914     152        148              4     0            97.37%
HAR_2915     540        532              8     0            98.52%
HAR_2916     335        327              8     0            97.61%
HAR_2917      19         16              3     0            84.21%
HAR_2918     278        271              5     2            97.48%
HAR_2919     664        660              4     0            99.40%
 HAR_292     330        323              7     0            97.88%
HAR_2920     389        379             10     0            97.43%
HAR_2921      61         57              4     0            93.44%
HAR_2922     233        229              4     0            98.28%
HAR_2923      24         21              3     0            87.50%
HAR_2924     264        258              6     0            97.73%
HAR_2925      94         90              4     0            95.74%
HAR_2926      30         22              4     4            73.33%
HAR_2927     257        253              4     0            98.44%
HAR_2928     354        350              4     0            98.87%
HAR_2929     483        473              6     4            97.93%
 HAR_293     146        136              6     4            93.15%
HAR_2930     411        401              9     1            97.57%
HAR_2931     251        246              4     1            98.01%
HAR_2932     198        193              5     0            97.47%
HAR_2933      62         59              3     0            95.16%
HAR_2935     195        189              4     2            96.92%
HAR_2936     590        577             13     0            97.80%
HAR_2937     611        582              9    20            95.25%
HAR_2938     177        174              3     0            98.31%
HAR_2939     164        158              5     1            96.34%
 HAR_294     364        359              5     0            98.63%
HAR_2940     133        130              3     0            97.74%
HAR_2941     260        253              7     0            97.31%
HAR_2942     350        344              6     0            98.29%
HAR_2943      83         74              5     4            89.16%
HAR_2944     333        323              7     3            97.00%
HAR_2945     185        181              4     0            97.84%
HAR_2946     142        138              4     0            97.18%
HAR_2947     294        288              6     0            97.96%
HAR_2948     139        130              5     4            93.53%
HAR_2949     370        363              7     0            98.11%
 HAR_295     395        389              6     0            98.48%
HAR_2950     170        166              4     0            97.65%
HAR_2951     428        424              4     0            99.07%
HAR_2952     473        466              6     1            98.52%
HAR_2953     356        349              5     2            98.03%
HAR_2954     541        527             13     1            97.41%
HAR_2955     244        238              6     0            97.54%
HAR_2956     229        225              4     0            98.25%
HAR_2957     303        298              5     0            98.35%
HAR_2958     146        143              3     0            97.95%
HAR_2959     394        386              4     4            97.97%
 HAR_296     441        435              6     0            98.64%
HAR_2960     996        991              5     0            99.50%
HAR_2961     151        146              4     1            96.69%
HAR_2962     123        119              4     0            96.75%
HAR_2963     194        190              4     0            97.94%
HAR_2964     150        146              4     0            97.33%
HAR_2965     277        272              5     0            98.19%
HAR_2966     275        272              3     0            98.91%
HAR_2967     254        250              4     0            98.43%
HAR_2968     340        336              4     0            98.82%
HAR_2969     433        429              4     0            99.08%
 HAR_297     570        564              6     0            98.95%
HAR_2970     735        729              6     0            99.18%
HAR_2971     433        422             10     1            97.46%
HAR_2972     175        171              4     0            97.71%
HAR_2973     539        528              8     3            97.96%
HAR_2974     183        179              4     0            97.81%
HAR_2975     332        324              7     1            97.59%
HAR_2976     216        212              4     0            98.15%
HAR_2977      86         83              3     0            96.51%
HAR_2978     120        117              3     0            97.50%
HAR_2979     198        193              5     0            97.47%
 HAR_298     235        229              6     0            97.45%
HAR_2980     150        148              2     0            98.67%
HAR_2981      32         30              2     0            93.75%
HAR_2982     306        301              5     0            98.37%
HAR_2983     490        482              8     0            98.37%
HAR_2984     145        143              2     0            98.62%
HAR_2985     561        553              7     1            98.57%
HAR_2986     270        266              4     0            98.52%
HAR_2987     147        143              4     0            97.28%
HAR_2988     330        323              7     0            97.88%
HAR_2989     477        467             10     0            97.90%
 HAR_299     303        295              8     0            97.36%
HAR_2990     373        367              6     0            98.39%
HAR_2991     170        166              4     0            97.65%
HAR_2992     135        130              5     0            96.30%
HAR_2993     217        213              4     0            98.16%
HAR_2994      46         43              3     0            93.48%
HAR_2995     234        228              3     3            97.44%
HAR_2996      41         37              4     0            90.24%
HAR_2997      53         49              4     0            92.45%
HAR_2998     265        258              7     0            97.36%
HAR_2999     327        323              4     0            98.78%
   HAR_3     125        122              3     0            97.60%
  HAR_30     257        253              4     0            98.44%
 HAR_300     170        162              8     0            95.29%
HAR_3000     217        212              5     0            97.70%
HAR_3001     146        142              4     0            97.26%
HAR_3002     385        375             10     0            97.40%
HAR_3003     245        240              4     1            97.96%
HAR_3004     250        245              5     0            98.00%
HAR_3005      76         72              4     0            94.74%
HAR_3006      34         31              3     0            91.18%
HAR_3007     197        193              4     0            97.97%
HAR_3008      28         24              4     0            85.71%
HAR_3009      19         16              3     0            84.21%
 HAR_301     356        347              9     0            97.47%
HAR_3010      29         29              0     0           100.00%
HAR_3011     510        502              8     0            98.43%
HAR_3012     222        218              4     0            98.20%
HAR_3013     160        158              2     0            98.75%
HAR_3014     359        353              6     0            98.33%
HAR_3015     309        305              4     0            98.71%
HAR_3016     414        409              5     0            98.79%
HAR_3017      16         13              3     0            81.25%
HAR_3018     280        272              8     0            97.14%
HAR_3019     154        150              4     0            97.40%
 HAR_302     227        222              5     0            97.80%
HAR_3020      29         20              3     6            68.97%
HAR_3021     176        167              5     4            94.89%
HAR_3022     292        287              5     0            98.29%
HAR_3023     171        167              3     1            97.66%
HAR_3024     195        190              4     1            97.44%
HAR_3025     187        172              5    10            91.98%
HAR_3026     197        193              4     0            97.97%
HAR_3027      14          9              5     0            64.29%
HAR_3028     150        145              5     0            96.67%
HAR_3029     256        250              6     0            97.66%
 HAR_303     209        205              4     0            98.09%
HAR_3030     235        229              6     0            97.45%
HAR_3031     154        150              4     0            97.40%
HAR_3032     178        174              4     0            97.75%
HAR_3033     150        147              3     0            98.00%
HAR_3034     265        260              5     0            98.11%
HAR_3035      52         49              3     0            94.23%
HAR_3036     322        317              5     0            98.45%
HAR_3037      95         92              3     0            96.84%
HAR_3038     457        450              4     3            98.47%
HAR_3039     134        128              6     0            95.52%
 HAR_304     186        182              4     0            97.85%
HAR_3040     447        438              9     0            97.99%
HAR_3041     430        423              7     0            98.37%
HAR_3042     626        608              7    11            97.12%
HAR_3043     328        312             13     3            95.12%
HAR_3044     375        361             14     0            96.27%
HAR_3045     310        298             10     2            96.13%
HAR_3046      45         40              5     0            88.89%
HAR_3047     229        222              7     0            96.94%
HAR_3048     125        118              7     0            94.40%
HAR_3049     242        235              7     0            97.11%
 HAR_305     133        128              3     2            96.24%
HAR_3050     397        385             12     0            96.98%
HAR_3051      56         53              3     0            94.64%
HAR_3052     830        823              7     0            99.16%
HAR_3053     335        324             10     1            96.72%
HAR_3054     215        207              8     0            96.28%
HAR_3055     540        500             23    17            92.59%
HAR_3056     312        308              4     0            98.72%
